article,date,pageview
Nelson Mandela,2015-08-15,2941
Nelson Mandela,2015-08-16,3618
Nelson Mandela,2015-08-17,4680
Nelson Mandela,2015-08-18,4816
Nelson Mandela,2015-08-19,5862
Nelson Mandela,2015-08-20,4867
Nelson Mandela,2015-08-21,3939
Nelson Mandela,2015-08-22,2879
Nelson Mandela,2015-08-23,3915
Nelson Mandela,2015-08-24,4763
Nelson Mandela,2015-08-25,4854
Nelson Mandela,2015-08-26,4697
Nelson Mandela,2015-08-27,4511
Nelson Mandela,2015-08-28,3527
Nelson Mandela,2015-08-29,2733
Nelson Mandela,2015-08-30,3630
Nelson Mandela,2015-08-31,5198
Nelson Mandela,2015-09-01,5410
Nelson Mandela,2015-09-02,5262
Nelson Mandela,2015-09-03,5105
Nelson Mandela,2015-09-04,4035
Nelson Mandela,2015-09-05,3544
Nelson Mandela,2015-09-06,4321
Nelson Mandela,2015-09-07,5483
Nelson Mandela,2015-09-08,6032
Nelson Mandela,2015-09-09,6189
Nelson Mandela,2015-09-10,7573
Nelson Mandela,2015-09-11,5905
Nelson Mandela,2015-09-12,3910
Nelson Mandela,2015-09-13,4317
Nelson Mandela,2015-09-14,6118
Nelson Mandela,2015-09-15,6252
Nelson Mandela,2015-09-16,4842
Nelson Mandela,2015-09-17,6148
Nelson Mandela,2015-09-18,5121
Nelson Mandela,2015-09-19,3641
Nelson Mandela,2015-09-20,4835
Nelson Mandela,2015-09-21,6082
Nelson Mandela,2015-09-22,6203
Nelson Mandela,2015-09-23,5740
Nelson Mandela,2015-09-24,5136
Nelson Mandela,2015-09-25,4745
Nelson Mandela,2015-09-26,3331
Nelson Mandela,2015-09-27,4361
Nelson Mandela,2015-09-28,5558
Nelson Mandela,2015-09-29,5764
Nelson Mandela,2015-09-30,6004
Nelson Mandela,2015-10-01,5781
Nelson Mandela,2015-10-02,5392
Nelson Mandela,2015-10-03,4186
Nelson Mandela,2015-10-04,4632
Nelson Mandela,2015-10-05,6250
Nelson Mandela,2015-10-06,6935
Nelson Mandela,2015-10-07,6223
Nelson Mandela,2015-10-08,5949
Nelson Mandela,2015-10-09,4946
Nelson Mandela,2015-10-10,3763
Nelson Mandela,2015-10-11,5229
Nelson Mandela,2015-10-13,6646
Nelson Mandela,2015-10-14,6388
Nelson Mandela,2015-10-15,6415
Nelson Mandela,2015-10-16,5012
Nelson Mandela,2015-10-17,3851
Nelson Mandela,2015-10-18,5005
Nelson Mandela,2015-10-19,6270
Nelson Mandela,2015-10-20,6790
Nelson Mandela,2015-10-21,6366
Nelson Mandela,2015-10-22,6123
Nelson Mandela,2015-10-23,5225
Nelson Mandela,2015-10-24,3700
Nelson Mandela,2015-10-25,4907
Nelson Mandela,2015-10-26,6515
Nelson Mandela,2015-10-27,6616
Nelson Mandela,2015-10-28,6351
Nelson Mandela,2015-10-29,6077
Nelson Mandela,2015-10-30,4857
Nelson Mandela,2015-10-31,3796
Nelson Mandela,2015-11-01,4820
Nelson Mandela,2015-11-02,6483
Nelson Mandela,2015-11-03,6477
Nelson Mandela,2015-11-04,6976
Nelson Mandela,2015-11-05,6218
Nelson Mandela,2015-11-06,5105
Nelson Mandela,2015-11-07,3491
Nelson Mandela,2015-11-08,4252
Nelson Mandela,2015-11-09,6469
Nelson Mandela,2015-11-10,6438
Nelson Mandela,2015-11-11,5916
Nelson Mandela,2015-11-12,5952
Nelson Mandela,2015-11-13,4632
Nelson Mandela,2015-11-14,4578
Nelson Mandela,2015-11-15,4901
Nelson Mandela,2015-11-16,6288
Nelson Mandela,2015-11-17,6244
Nelson Mandela,2015-11-18,7059
Nelson Mandela,2015-11-19,5964
Nelson Mandela,2015-11-20,4919
Nelson Mandela,2015-11-21,3460
Nelson Mandela,2015-11-22,4490
Nelson Mandela,2015-11-23,7402
Nelson Mandela,2015-11-24,8027
Nelson Mandela,2015-11-25,5579
Nelson Mandela,2015-11-26,5225
Nelson Mandela,2015-11-27,3723
Nelson Mandela,2015-11-28,3098
Nelson Mandela,2015-11-29,4589
Nelson Mandela,2015-11-30,6363
Nelson Mandela,2015-12-01,6870
Nelson Mandela,2015-12-02,6677
Nelson Mandela,2015-12-03,6652
Nelson Mandela,2015-12-04,5747
Nelson Mandela,2015-12-05,4700
Nelson Mandela,2015-12-06,5945
Nelson Mandela,2015-12-07,6741
Nelson Mandela,2015-12-08,6447
Nelson Mandela,2015-12-09,6133
Nelson Mandela,2015-12-10,6084
Nelson Mandela,2015-12-11,4419
Nelson Mandela,2015-12-12,3148
Nelson Mandela,2015-12-13,4022
Nelson Mandela,2015-12-14,5835
Nelson Mandela,2015-12-15,5289
Nelson Mandela,2015-12-16,4805
Nelson Mandela,2015-12-17,4184
Nelson Mandela,2015-12-18,3211
Nelson Mandela,2015-12-19,2427
Nelson Mandela,2015-12-20,2500
Nelson Mandela,2015-12-21,2943
Nelson Mandela,2015-12-22,2638
Nelson Mandela,2015-12-23,2455
Nelson Mandela,2015-12-24,2122
Nelson Mandela,2015-12-25,1827
Nelson Mandela,2015-12-26,2157
Nelson Mandela,2015-12-27,2419
Nelson Mandela,2015-12-28,2651
Nelson Mandela,2015-12-29,2790
Nelson Mandela,2015-12-30,2630
Nelson Mandela,2015-12-31,2329
!Kung people,2014-01-01,0
